iter	Passed	Remaining
399	39921	259488
400	40024	259409
401	40108	259211
402	40198	259047
403	40306	259002
404	40394	258821
405	40491	258707
406	40577	258520
407	40653	258271
408	40740	258092
409	40826	257902
410	40921	257775
411	41014	257635
412	41116	257549
413	41199	257350
414	41281	257138
415	41363	256928
416	41458	256806
417	41551	256664
418	41632	256454
419	41726	256318
420	41815	256155
421	41923	256110
422	42015	255969
423	42105	255811
424	42193	255645
425	42289	255522
426	42374	255341
427	42454	255122
428	42548	254995
429	42637	254832
430	42730	254700
431	42816	254520
432	42895	254302
433	42978	254106
434	43074	253988
435	43164	253839
436	43257	253704
437	43336	253487
438	43418	253293
439	43506	253126
440	43583	252905
441	43672	252744
442	43759	252582
443	43840	252378
444	43937	252273
445	44022	252091
446	44124	252012
447	44219	251891
448	44303	251712
449	44387	251528
450	44484	251421
451	44576	251286
452	44666	251138
453	44748	250945
454	44838	250798
455	44916	250589
456	45010	250461
457	45106	250349
458	45183	250130
459	45272	249982
460	45365	249855
461	45454	249704
462	45532	249495
463	45631	249397
464	45717	249236
465	45796	249030
466	45882	248868
467	45967	248695
468	46070	248624
469	46150	248427
470	46249	248335
471	46345	248225
472	46454	248184
473	46548	248063
474	46639	247925
475	46724	247755
476	46822	247657
477	46920	247561
478	47010	247420
479	47110	247328
480	47189	247134
481	47296	247082
482	47395	246986
483	47492	246880
484	47578	246723
485	47667	246575
486	47757	246434
487	47857	246346
488	47946	246203
489	48038	246077
490	48128	245938
491	48208	245745
492	48310	245665
493	48409	245573
494	48506	245473
495	48594	245326
496	48695	245240
497	48788	245116
498	48870	244939
499	48955	244777
500	49062	244726
501	49156	244608
502	49241	244447
503	49325	244278
504	49415	244139
505	49507	244016
506	49611	243946
507	49691	243762
508	49789	243665
509	49869	243482
510	49965	243371
511	50055	243239
512	50150	243128
513	50247	243027
514	50335	242880
515	50428	242762
516	50529	242676
517	50614	242518
518	50695	242340
519	50793	242247
520	50878	242086
521	50960	241915
522	51052	241792
523	51140	241648
524	51234	241532
525	51334	241448
526	51426	241325
527	51521	241216
528	51601	241033
529	51684	240869
530	51766	240700
531	51853	240553
532	51935	240383
533	52032	240286
534	52122	240152
535	52204	239986
536	52291	239840
537	52373	239670
538	52473	239586
539	52563	239455
540	52660	239359
541	52766	239300
542	52856	239166
543	52963	239115
544	53053	238982
545	53133	238809
546	53222	238676
547	53321	238586
548	53401	238409
549	53503	238335
550	53592	238199
551	53677	238049
552	53773	237943
553	53859	237798
554	53946	237656
555	54038	237537
556	54136	237443
557	54228	237323
558	54313	237172
559	54405	237051
560	54497	236932
561	54599	236858
562	54713	236831
563	54822	236784
564	54911	236655
565	54991	236482
566	55077	236336
567	55163	236193
568	55251	236056
569	55329	235879
570	55422	235762
571	55500	235587
572	55580	235416
573	55675	235310
574	55752	235130
575	55840	234993
576	55930	234867
577	56007	234690
578	56160	234825
579	56262	234749
580	56344	234589
581	56428	234439
582	56512	234289
583	56592	234121
584	56679	233983
585	56763	233835
586	56851	233701
587	56933	233543
588	57015	233386
589	57104	233259
590	57179	233070
591	57266	232936
592	57356	232809
593	57456	232726
594	57534	232556
595	57610	232374
596	57698	232241
597	57798	232161
598	57882	232014
599	57972	231888
600	58090	231879
601	58166	231698
602	58241	231515
603	58322	231360
604	58424	231282
605	58502	231113
606	58592	230990
607	58666	230806
608	58751	230663
609	58831	230504
610	58935	230435
611	59025	230316
612	59117	230202
613	59193	230024
614	59276	229878
615	59373	229784
616	59457	229640
617	59540	229492
618	59631	229375
619	59718	229241
620	59803	229103
621	59892	228979
622	59976	228834
623	60076	228753
624	60159	228607
625	60238	228443
626	60332	228340
627	60409	228170
628	60500	228053
629	60588	227926
630	60667	227767
631	60744	227601
632	60824	227444
633	60913	227320
634	61010	227228
635	61097	227098
636	61171	226921
637	61251	226764
638	61343	226652
639	61428	226518
640	61510	226370
641	61597	226241
642	61675	226080
643	61759	225940
644	61852	225833
645	61929	225669
646	62023	225567
647	62103	225412
648	62186	225271
649	62284	225183
650	62374	225064
651	62451	224903
652	62526	224732
653	62614	224606
654	62719	224544
655	62835	224521
656	62936	224444
657	63037	224367
658	63133	224271
659	63216	224132
660	63301	223998
661	63402	223920
662	63491	223799
663	63594	223729
664	63681	223601
665	63781	223523
666	63879	223435
667	63968	223314
668	64062	223212
669	64149	223085
670	64241	222979
671	64329	222854
672	64416	222728
673	64521	222664
674	64611	222550
675	64706	222453
676	64798	222343
677	64885	222219
678	64983	222132
679	65081	222041
680	65188	221986
681	65278	221868
682	65371	221766
683	65463	221655
684	65546	221519
685	65633	221392
686	65727	221291
687	65813	221163
688	65914	221087
689	66009	220986
690	66095	220859
691	66173	220707
692	66265	220598
693	66363	220511
694	66451	220388
695	66536	220257
696	66625	220139
697	66717	220032
698	66814	219943
699	66913	219858
700	66999	219731
701	67083	219599
702	67164	219456
703	67272	219398
704	67358	219274
705	67448	219159
706	67536	219040
707	67633	218950
708	67734	218872
709	67831	218780
710	67928	218689
711	68012	218556
712	68104	218450
713	68191	218327
714	68280	218209
715	68374	218110
716	68478	218041
717	68571	217938
718	68661	217825
719	68745	217693
720	68844	217610
721	68932	217491
722	69023	217381
723	69107	217249
724	69189	217113
725	69287	217025
726	69381	216923
727	69465	216793
728	69563	216706
729	69666	216633
730	69761	216537
731	69840	216389
732	69931	216282
733	70038	216220
734	70133	216125
735	70223	216015
736	70312	215897
737	70412	215818
738	70512	215735
739	70604	215628
740	70698	215528
741	70773	215372
742	70852	215227
743	70931	215084
744	71013	214945
745	71093	214806
746	71181	214687
747	71259	214540
748	71335	214387
749	71431	214293
750	71513	214158
751	71599	214036
752	71695	213944
753	71788	213842
754	71888	213761
755	71975	213642
756	72055	213502
757	72149	213401
758	72239	213292
759	72318	213149
760	72418	213069
761	72495	212921
762	72593	212833
763	72698	212765
764	72799	212688
765	72902	212615
766	72998	212524
767	73084	212402
768	73169	212278
769	73262	212176
770	73360	212088
771	73457	211998
772	73550	211898
773	73638	211782
774	73715	211633
775	73801	211512
776	73882	211379
777	73964	211246
778	74047	211114
779	74134	210998
780	74217	210869
781	74295	210726
782	74380	210601
783	74455	210450
784	74538	210323
785	74620	210190
786	74723	210116
787	74816	210018
788	74898	209886
789	74988	209777
790	75065	209632
791	75146	209498
792	75218	209340
793	75306	209228
794	75390	209102
795	75482	208999
796	75568	208879
797	75653	208759
798	75734	208624
799	75826	208522
800	75907	208389
801	75991	208266
802	76086	208173
803	76191	208104
804	76277	207987
805	76369	207884
806	76450	207752
807	76531	207619
808	76634	207547
809	76725	207443
810	76815	207334
811	76908	207235
812	77000	207133
813	77097	207044
814	77182	206925
815	77268	206806
816	77358	206700
817	77448	206591
818	77546	206507
819	77623	206365
820	77704	206234
821	77794	206126
822	77895	206048
823	77979	205925
824	78062	205801
825	78158	205709
826	78249	205606
827	78335	205488
828	78434	205406
829	78517	205281
830	78611	205185
831	78693	205057
832	78782	204948
833	78876	204851
834	78984	204791
835	79080	204702
836	79169	204592
837	79271	204517
838	79360	204406
839	79456	204316
840	79534	204180
841	79626	204079
842	79735	204021
843	79821	203904
844	79913	203804
845	80009	203711
846	80107	203626
847	80196	203516
848	80272	203376
849	80375	203303
850	80465	203197
851	80566	203117
852	80655	203010
853	80754	202927
854	80840	202811
855	80923	202686
856	81014	202582
857	81099	202464
858	81195	202374
859	81279	202253
860	81367	202142
861	81459	202043
862	81551	201940
863	81648	201852
864	81740	201752
865	81822	201626
866	81909	201515
867	82003	201417
868	82088	201300
869	82173	201182
870	82262	201075
871	82352	200969
872	82437	200851
873	82525	200742
874	82615	200637
875	82705	200531
876	82809	200461
877	82893	200342
878	83012	200306
879	83114	200229
880	83228	200183
881	83337	200124
882	83450	200073
883	83536	199958
884	83621	199842
885	83732	199785
886	83844	199733
887	83969	199711
888	84096	199694
889	84216	199658
890	84347	199650
891	84481	199647
892	84590	199587
893	84709	199550
894	84944	199785
895	85063	199748
896	85169	199677
897	85281	199623
898	85396	199575
899	85513	199530
900	85637	199502
901	85731	199406
902	85851	199369
903	85980	199353
904	86114	199346
905	86220	199277
906	86356	199276
907	86488	199266
908	86595	199197
909	86690	199101
910	86794	199027
911	86914	198988
912	87034	198950
913	87155	198912
914	87265	198850
915	87365	198766
916	87503	198766
917	87633	198749
918	87752	198708
919	87879	198685
920	88008	198663
921	88135	198639
922	88263	198616
923	88383	198574
924	88494	198515
925	88607	198457
926	88716	198392
927	88812	198297
928	89030	198474
929	89147	198425
930	89269	198388
931	89383	198332
932	89482	198243
933	89584	198159
934	89685	198074
935	89802	198026
936	89930	198001
937	90043	197941
938	90152	197874
939	90273	197834
940	90401	197806
941	90507	197733
942	90613	197658
943	90716	197576
944	90832	197523
945	90944	197462
946	91054	197395
947	91169	197341
948	91277	197270
949	91379	197187
950	91469	197078
951	91555	196959
952	91635	196827
953	91729	196728
954	91819	196617
955	91907	196505
956	91997	196395
957	92084	196280
958	92177	196176
959	92281	196097
960	92363	195972
961	92462	195882
962	92554	195777
963	92638	195655
964	92726	195542
965	92833	195469
966	92950	195417
967	93051	195330
968	93151	195243
969	93252	195156
970	93356	195078
971	93470	195019
972	93573	194936
973	93693	194890
974	93812	194841
975	93895	194718
976	93983	194604
977	94089	194528
978	94196	194455
979	94312	194398
980	94422	194331
981	94526	194251
982	94637	194185
983	94752	194126
984	94904	194144
985	95040	194129
986	95159	194080
987	95278	194027
988	95402	193988
989	95542	193980
990	95666	193939
991	95808	193935
992	95934	193898
993	96053	193846
994	96171	193792
995	96284	193729
996	96421	193713
997	96547	193675
998	96678	193646
999	96805	193610
1000	96921	193552
1001	97031	193481
1002	97146	193421
1003	97257	193353
1004	97370	193287
1005	97483	193223
1006	97600	193165
1007	97714	193103
1008	97847	193077
1009	97957	193005
1010	98081	192961
1011	98193	192894
1012	98299	192813
1013	98440	192803
1014	98594	192818
1015	98726	192788
1016	98863	192769
1017	98991	192731
1018	99114	192685
1019	99246	192655
1020	99362	192594
1021	99475	192526
1022	99620	192520
1023	99752	192491
1024	99883	192457
1025	99996	192391
1026	100129	192362
1027	100246	192301
1028	100372	192259
1029	100493	192205
1030	100622	192169
1031	100744	192117
1032	100857	192049
1033	101007	192050
1034	101162	192062
1035	101278	191998
1036	101424	191992
1037	101561	191968
1038	101697	191943
1039	101836	191923
1040	101953	191860
1041	102075	191808
1042	102196	191753
1043	102312	191689
1044	102419	191607
1045	102540	191552
1046	102667	191509
1047	102799	191474
1048	102910	191399
1049	103045	191369
1050	103154	191291
1051	103273	191233
1052	103388	191165
1053	103516	191123
1054	103639	191069
1055	103770	191032
1056	103904	190998
1057	104061	191008
1058	104179	190946
1059	104307	190901
1060	104411	190814
1061	104542	190775
1062	104673	190735
1063	104787	190665
1064	104913	190617
1065	105038	190566
1066	105145	190483
1067	105254	190404
1068	105385	190365
1069	105503	190300
1070	105627	190248
1071	105741	190177
1072	105866	190125
1073	105975	190044
1074	106090	189975
1075	106204	189904
1076	106318	189832
1077	106439	189774
1078	106565	189723
1079	106668	189633
1080	106794	189582
1081	106906	189506
1082	107009	189416
1083	107123	189344
1084	107228	189256
1085	107336	189172
1086	107446	189094
1087	107561	189022
1088	107669	188940
1089	107758	188824
1090	108007	188988
1091	108098	188874
1092	108195	188772
1093	108286	188660
1094	108398	188583
1095	108499	188488
1096	108606	188402
1097	108708	188309
1098	108822	188236
1099	108914	188125
1100	109006	188013
1101	109102	187909
1102	109199	187807
1103	109285	187686
1104	109379	187579
1105	109467	187460
1106	109549	187333
1107	109634	187209
1108	109716	187081
1109	109791	186942
1110	109881	186827
1111	109975	186721
1112	110064	186604
1113	110167	186513
1114	110258	186400
1115	110374	186331
1116	110480	186243
1117	110581	186148
1118	110680	186050
1119	110771	185937
1120	110899	185887
1121	111028	185838
1122	111148	185776
1123	111262	185701
1124	111371	185618
1125	111489	185551
1126	111591	185457
1127	111689	185356
1128	111785	185252
1129	111879	185145
1130	111974	185040
1131	112068	184932
1132	112179	184853
1133	112314	184813
1134	112427	184738
1135	112527	184639
1136	112639	184562
1137	112743	184471
1138	112852	184387
1139	112949	184285
1140	113041	184175
1141	113142	184080
1142	113232	183964
1143	113341	183883
1144	113461	183817
1145	113574	183741
1146	113684	183659
1147	113786	183564
1148	113885	183466
1149	113993	183380
1150	114089	183277
1151	114196	183190
1152	114297	183094
1153	114409	183015
1154	114501	182905
1155	114617	182832
1156	114843	182936
1157	114979	182895
1158	115139	182891
1159	115232	182781
1160	115339	182696
1161	115438	182595
1162	115545	182508
1163	115650	182417
1164	115758	182331
1165	115859	182235
1166	115946	182115
1167	116043	182013
1168	116150	181925
1169	116255	181835
1170	116372	181763
1171	116484	181683
1172	116582	181582
1173	116697	181506
1174	116806	181423
1175	116912	181333
1176	117031	181263
1177	117143	181185
1178	117266	181121
1179	117366	181023
1180	117482	180949
1181	117587	180858
1182	117687	180759
1183	117779	180648
1184	117884	180557
1185	117993	180472
1186	118112	180402
1187	118218	180312
1188	118318	180214
1189	118414	180108
1190	118530	180034
1191	118643	179956
1192	118750	179866
1193	118849	179768
1194	118958	179681
1195	119060	179586
1196	119178	179513
1197	119275	179410
1198	119396	179342
1199	119505	179258
1200	119626	179191
1201	119748	179123
1202	119859	179041
1203	119992	178992
1204	120095	178897
1205	120197	178800
1206	120296	178701
1207	120402	178610
1208	120483	178483
1209	120569	178362
1210	120651	178237
1211	120759	178149
1212	120845	178029
1213	120930	177908
1214	121013	177785
1215	121113	177686
1216	121211	177584
1217	121314	177489
1218	121415	177392
1219	121506	177279
1220	121637	177225
1221	121752	177148
1222	121888	177102
1223	121985	176998
1224	122091	176907
1225	122182	176795
1226	122295	176715
1227	122418	176648
1228	122528	176564
1229	122627	176463
1230	122732	176371
1231	122851	176300
1232	122950	176199
1233	123030	176070
1234	123113	175948
1235	123208	175841
1236	123307	175740
1237	123409	175643
1238	123500	175531
1239	123608	175444
1240	123705	175341
1241	123813	175252
1242	123943	175196
1243	124045	175099
1244	124160	175021
1245	124279	174949
1246	124390	174865
1247	124498	174776
1248	124614	174700
1249	124713	174598
1250	124809	174493
1251	124903	174386
1252	124998	174279
1253	125092	174171
1254	125195	174077
1255	125292	173973
1256	125386	173865
1257	125486	173765
1258	125583	173661
1259	125671	173546
1260	125780	173459
1261	125878	173356
1262	125974	173251
1263	126091	173175
1264	126182	173065
1265	126275	172955
1266	126397	172886
1267	126496	172785
1268	126597	172686
1269	126703	172596
1270	126809	172504
1271	126916	172414
1272	127010	172306
1273	127138	172245
1274	127232	172138
1275	127349	172061
1276	127459	171975
1277	127559	171876
1278	127785	171945
1279	127906	171873
1280	128011	171781
1281	128112	171682
1282	128231	171608
1283	128326	171502
1284	128436	171415
1285	128552	171336
1286	128653	171238
1287	128760	171147
1288	128865	171053
1289	128972	170963
1290	129065	170854
1291	129174	170765
1292	129283	170678
1293	129394	170593
1294	129491	170489
1295	129586	170381
1296	129687	170284
1297	129792	170190
1298	129887	170084
1299	129979	169973
1300	130085	169881
1301	130185	169781
1302	130276	169669
1303	130376	169569
1304	130471	169463
1305	130588	169385
1306	130799	169428
1307	130922	169358
1308	131019	169253
1309	131106	169137
1310	131204	169034
1311	131320	168954
1312	131424	168859
1313	131520	168754
1314	131619	168652
1315	131723	168557
1316	131829	168465
1317	131939	168377
1318	132039	168278
1319	132131	168167
1320	132227	168061
1321	132335	167971
1322	132429	167864
1323	132521	167753
1324	132609	167637
1325	132703	167530
1326	132797	167423
1327	132894	167318
1328	132994	167218
1329	133095	167120
1330	133184	167006
1331	133269	166887
1332	133363	166779
1333	133454	166667
1334	133542	166552
1335	133627	166434
1336	133713	166317
1337	133795	166194
1338	133882	166078
1339	133968	165961
1340	134062	165853
1341	134152	165741
1342	134242	165628
1343	134351	165539
1344	134436	165422
1345	134525	165308
1346	134622	165204
1347	134711	165091
1348	134791	164966
1349	134880	164853
1350	134970	164741
1351	135057	164625
1352	135147	164514
1353	135240	164406
1354	135329	164293
1355	135431	164196
1356	135512	164072
1357	135600	163958
1358	135688	163844
1359	135776	163730
1360	135858	163608
1361	135952	163502
1362	136034	163381
1363	136122	163267
1364	136209	163151
1365	136296	163037
1366	136389	162929
1367	136471	162808
1368	136555	162689
1369	136651	162585
1370	136740	162472
1371	136840	162373
1372	136939	162272
1373	137016	162146
1374	137104	162032
1375	137205	161934
1376	137292	161819
1377	137370	161694
1378	137457	161579
1379	137555	161478
1380	137637	161357
1381	137726	161245
1382	137806	161123
1383	137894	161009
1384	137977	160890
1385	138072	160786
1386	138168	160682
1387	138267	160581
1388	138374	160490
1389	138462	160377
1390	138563	160278
1391	138651	160166
1392	138735	160048
1393	138828	159941
1394	138931	159846
1395	139032	159748
1396	139124	159639
1397	139220	159535
1398	139332	159450
1399	139422	159339
1400	139526	159245
1401	139632	159153
1402	139714	159033
1403	139812	158932
1404	139904	158824
1405	139996	158715
1406	140105	158626
1407	140204	158527
1408	140295	158417
1409	140388	158310
1410	140470	158190
1411	140559	158079
1412	140639	157958
1413	140725	157843
1414	140814	157732
1415	140896	157612
1416	140996	157513
1417	141090	157408
1418	141181	157298
1419	141280	157199
1420	141358	157075
1421	141446	156963
1422	141551	156870
1423	141646	156765
1424	141728	156647
1425	141835	156556
1426	141926	156446
1427	142026	156348
1428	142119	156242
1429	142211	156134
1430	142307	156030
1431	142399	155922
1432	142498	155823
1433	142599	155725
1434	142691	155617
1435	142796	155524
1436	142904	155434
1437	143008	155340
1438	143107	155240
1439	143209	155143
1440	143314	155050
1441	143424	154962
1442	143520	154858
1443	143612	154751
1444	143719	154660
1445	143829	154572
1446	143919	154462
1447	144022	154366
1448	144124	154269
1449	144213	154159
1450	144305	154051
1451	144412	153960
1452	144529	153879
1453	144630	153782
1454	144732	153685
1455	144831	153585
1456	144945	153500
1457	145046	153403
1458	145142	153300
1459	145232	153189
1460	145339	153098
1461	145448	153009
1462	145579	152942
1463	145685	152850
1464	145787	152753
1465	145910	152678
1466	145998	152566
1467	146095	152464
1468	146192	152362
1469	146294	152265
1470	146387	152159
1471	146490	152063
1472	146585	151959
1473	146669	151843
1474	146771	151746
1475	146865	151641
1476	146959	151536
1477	147044	151421
1478	147155	151334
1479	147263	151243
1480	147358	151139
1481	147453	151035
